SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units
2631-50_2	SL004147	Interleukin-10 receptor subunit beta	IL-10 Rb	Q08334	3588	IL10RB	Human	RFU
2632-5_2	SL004148	Interleukin-12 receptor subunit beta-1	IL-12 Rb1	P42701	3594	IL12RB1	Human	RFU
2633-52_2	SL004149	Interleukin-13 receptor subunit alpha-1	IL-13 Ra1	P78552	3597	IL13RA1	Human	RFU
2634-2_2	SL003307	Cytokine receptor common subunit gamma	IL-2 sRg	P31785	3561	IL2RG	Human	RFU
2635-61_2	SL004646	Layilin	Layilin	Q6UX15	143903	LAYN	Human	RFU
2636-10_2	SL000509	Tumor necrosis factor receptor superfamily member 3	Lymphotoxin b R	P36941	4055	LTBR	Human	RFU
2637-77_2	SL004579	Macrophage mannose receptor 1	Macrophage mannose receptor	P22897	4360	MRC1	Human	RFU
2638-12_2	SL004153	Macrophage colony-stimulating factor 1 receptor	M-CSF R	P07333	1436	CSF1R	Human	RFU
2640-3_2	SL004637	Macrophage-stimulating protein receptor	MSP R	Q04912	4486	MST1R	Human	RFU
2642-4_1	SL004760	Platelet-activating factor acetylhydrolase IB subunit beta	PAFAH beta subunit	P68402	5049	PAFAH1B2	Human	RFU
2643-57_2	SL004183	Cadherin-3	P-Cadherin	P22223	1001	CDH3	Human	RFU
2644-11_2	SL000551	Protein kinase C alpha type	PKC-A	P17252	5578	PRKCA	Human	RFU
2645-54_1	SL000557	Protein kinase C zeta type	PKC-Z	Q05513	5590	PRKCZ	Human	RFU
2647-66_2	SL003648	Rab GDP dissociation inhibitor beta	Rab GDP dissociation inhibitor beta	P50395	2665	GDI2	Human	RFU
2649-77_2	SL003178	Intercellular adhesion molecule 3	sICAM-3	P32942	3385	ICAM3	Human	RFU
2652-15_1	SL002506	Urokinase plasminogen activator surface receptor	suPAR	Q03405	5329	PLAUR	Human	RFU
2654-19_1	SL001992	Tumor necrosis factor receptor superfamily member 1A	TNF sR-I	P19438	7132	TNFRSF1A	Human	RFU
2658-27_1	SL004639	NT-3 growth factor receptor	TrkC	Q16288	4916	NTRK3	Human	RFU
2665-26_2	SL004672	Tumor necrosis factor receptor superfamily member 17	BCMA	Q02223	608	TNFRSF17	Human	RFU
2666-53_2	SL004081	Decorin	Bone proteoglycan II	P07585	1634	DCN	Human	RFU
2668-70_2	SL000337	Calpain I	Calpain I	P07384 P04632	823 826	CAPN1 CAPNS1	Human	RFU
2670-67_4	SL000383	Creatine kinase M-type	CK-MM	P06732	1158	CKM	Human	RFU
2677-1_1	SL002644	Epidermal growth factor receptor	ERBB1	P00533	1956	EGFR	Human	RFU
2681-23_2	SL000441	Hepatocyte growth factor	HGF	P14210	3082	HGF	Human	RFU
2682-68_1	SL000450	60 kDa heat shock protein, mitochondrial	HSP 60	P10809	3329	HSPD1	Human	RFU
2683-1_2	SL000456	Complement C3b, inactivated	iC3b	P01024	718	C3	Human	RFU
2685-21_2	SL004676	Insulin-like growth factor-binding protein 5	IGFBP-5	P24593	3488	IGFBP5	Human	RFU
2686-67_2	SL005172	Insulin-like growth factor-binding protein 6	IGFBP-6	P24592	3489	IGFBP6	Human	RFU
2687-2_1	SL001947	Melanoma-derived growth regulatory protein	MIA	Q16674	8190	MIA	Human	RFU
2692-74_2	SL002528	Phospholipase A2, membrane associated	NPS-PLA2	P14555	5320	PLA2G2A	Human	RFU
2693-20_3	SL000530	Oncostatin-M	OSM	P13725	5008	OSM	Human	RFU
2695-25_1	SL001721	Platelet endothelial cell adhesion molecule	PECAM-1	P16284	5175	PECAM1	Human	RFU
2696-87_2	SL004685	Persephin	Persephin	O60542	5623	PSPN	Human	RFU
2697-7_2	SL003041	Platelet factor 4	PF-4	P02776	5196	PF4	Human	RFU
2700-56_2	SL000049	Vitamin K-dependent protein S	Protein S	P07225	5627	PROS1	Human	RFU
2704-74_1	SL004364	Tumor necrosis factor receptor superfamily member 13B	TACI	O14836	23495	TNFRSF13B	Human	RFU
2705-5_2	SL003197	C-C motif chemokine 25	TECK	O15444	6370	CCL25	Human	RFU
2706-69_2	SL000590	Thyroxine-binding globulin	Thyroxine-Binding Globulin	P05543	6906	SERPINA7	Human	RFU
2708-54_2	SL004326	Tumor necrosis factor ligand superfamily member 18	TNFSF18	Q9UNG2	8995	TNFSF18	Human	RFU
2711-6_2	SL005153	Ciliary neurotrophic factor receptor subunit alpha	CNTFR alpha	P26992	1271	CNTFR	Human	RFU
2714-78_2	SL003334	Endothelial monocyte-activating polypeptide 2	EMAP-2	Q12904	9255	AIMP1	Human	RFU
2715-25_2	SL005159	Erythropoietin receptor	EPO-R	P19235	2057	EPOR	Human	RFU
2719-3_4	SL004591	Granulocyte colony-stimulating factor receptor	G-CSF-R	Q99062	1441	CSF3R	Human	RFU
2723-9_2	SL005178	Interleukin-37	IL-1F7	Q9NZH6	27178	IL37	Human	RFU
2728-62_2	SL000497	Laminin	Laminin	P25391, P07942, P11047	284217 3912 3915	LAMA1 LAMB1  LAMC1	Human	RFU
2730-58_2	SL005199	MHC class I polypeptide-related sequence A	MICA	Q29983	4276	MICA	Human	RFU
2731-29_2	SL000528	NADPH--cytochrome P450 reductase	NADPH-P450 Oxidoreductase	P16435	5447	POR	Human	RFU
2732-58_3	SL005235	Homeobox protein NANOG	NANOG	Q9H9S0	79923	NANOG	Human	RFU
2734-49_4	SL005206	Natural cytotoxicity triggering receptor 2	NKp44	O95944	9436	NCR2	Human	RFU
2737-22_2	SL005236	Protein NOV homolog	NovH	P48745	4856	NOV	Human	RFU
2741-22_2	SL005217	Sialic acid-binding Ig-like lectin 6	Siglec-6	O43699	946	SIGLEC6	Human	RFU
2742-68_2	SL005218	Sialic acid-binding Ig-like lectin 7	Siglec-7	Q9Y286	27036	SIGLEC7	Human	RFU
2743-5_2	SL005220	Sonic hedgehog protein	Sonic Hedgehog	Q15465	6469	SHH	Human	RFU
2744-57_2	SL000467	Immunoglobulin G	IgG	P01857	3500 3501  3502 3503  50802 3535	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	Human	RFU
2746-56_1	SL005226	Cytokine receptor-like factor 2	TSLP R	Q9HC73	64109	CRLF2	Human	RFU
2747-3_2	SL005229	NKG2D ligand 3	ULBP-3	Q9BZM4	79465	ULBP3	Human	RFU
2748-3_2	SL001938	Inhibin beta A chain	Activin A	P08476	3624	INHBA	Human	RFU
2750-3_2	SL000019	Apolipoprotein A-I	Apo A-I	P02647	335	APOA1	Human	RFU
2751-16_2	SL004589	Azurocidin	Azurocidin	P20160	566	AZU1	Human	RFU
2752-62_2	SL004329	Growth/differentiation factor 5	BMP-14	P43026	8200	GDF5	Human	RFU
2753-2_2	SL000309	Complement C1q subcomponent	C1q	P02745  P02746  P02747	712 713 714	C1QA C1QB  C1QC	Human	RFU
2754-50_2	SL000312	Complement C3	C3	P01024	718	C3	Human	RFU
2755-8_2	SL003220	C3a anaphylatoxin des Arginine	C3adesArg	P01024	718	C3	Human	RFU
2760-2_2	SL004752	Protein FAM107A	DRR1	O95990	11170	FAM107A	Human	RFU
2761-49_2	SL004336	Fibroblast growth factor 18	FGF-18	O76093	8817	FGF18	Human	RFU
2762-30_2	SL004337	Fibroblast growth factor 19	FGF-19	O95750	9965	FGF19	Human	RFU
2763-66_2	SL004338	Fibroblast growth factor 20	FGF-20	Q9NP95	26281	FGF20	Human	RFU
2764-20_2	SL003849	Fibroblast growth factor 9	FGF9	P31371	2254	FGF9	Human	RFU
2765-4_3	SL021043	Growth/differentiation factor 11/8	GDF-11/8	O95390 O14793		GDF11 MSTN	Human	RFU
2768-56_2	SL000440	Hemopexin	Hemopexin	P02790	3263	HPX	Human	RFU
2770-51_2	SL003176	C-C motif chemokine 1	I-309	P22362	6346	CCL1	Human	RFU
2771-35_2	SL000462	Insulin-like growth factor-binding protein 1	IGFBP-1	P08833	3484	IGFBP1	Human	RFU
2773-50_2	SL001717	Interleukin-10	IL-10	P22301	3586	IL10	Human	RFU
2774-10_3	SL000474	Interleukin-16	IL-16	Q14005	3603	IL16	Human	RFU
2775-54_2	SL004352	Interleukin-17F	IL-17F	Q96PD4	112744	IL17F	Human	RFU
2778-10_2	SL004347	Interleukin-22	IL-22	Q9GZX6	50616	IL22	Human	RFU
2780-35_2	SL000496	Lactotransferrin	Lactoferrin	P02788	4057	LTF	Human	RFU
2781-63_2	SL004356	C-C motif chemokine 4-like	LAG-1	Q8NHW4	388372	CCL4L1	Human	RFU
2783-18_2	SL004355	C-C motif chemokine 3-like 1	LD78-beta	P16619	414062	CCL3L1	Human	RFU
2785-15_2	SL000515	C-C motif chemokine 8	MCP-2	P80075	6355	CCL8	Human	RFU
2788-55_1	SL000524	Stromelysin-1	MMP-3	P08254	4314	MMP3	Human	RFU
2789-26_2	SL000525	Matrilysin	MMP-7	P09237	4316	MMP7	Human	RFU
2790-54_2	SL003191	Neutrophil-activating peptide 2	NAP-2	P02775	5473	PPBP	Human	RFU
2794-60_2	SL000581	Superoxide dismutase [Cu-Zn]	SOD	P00441	6647	SOD1	Human	RFU
2796-62_2	SL000424	Fibrinogen	Fibrinogen	P02671 P02675 P02679	2243 2244 2266	FGA FGB FGG	Human	RFU
2797-56_2	SL000020	Apolipoprotein B	Apo B	P04114	338	APOB	Human	RFU
2805-6_2	SL004415	Angiotensin-converting enzyme 2	ACE2	Q9BYF1	59272	ACE2	Human	RFU
2806-49_2	SL004128	Activin receptor type-1B	Activin RIB	P36896	91	ACVR1B	Human	RFU
2809-25_2	SL004625	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS-4	O75173	9507	ADAMTS4	Human	RFU
2811-27_1	SL001995	Angiopoietin-1	Angiopoietin-1	Q15389	284	ANGPT1	Human	RFU
2813-11_2	SL006924	Agouti-related protein	ART	O00253	181	AGRP	Human	RFU
2816-50_2	SL001902	Basal Cell Adhesion Molecule	BCAM	P50895	4059	BCAM	Human	RFU
2819-23_2	SL002081	Cadherin-5	Cadherin-5	P33151	1003	CDH5	Human	RFU
2822-56_2	SL004726	CD97 antigen	CD97	P48960	976	CD97	Human	RFU
2823-7_1	SL004704	COMM domain-containing protein 7	COMMD7	Q86VX2	149951	COMMD7	Human	RFU
2826-53_2	SL004644	Ectodysplasin-A, secreted form	EDA	Q92838	1896	EDA	Human	RFU
2827-23_2	SL000427	Fractalkine	Fractalkine/CX3CL-1	P78423	6376	CX3CL1	Human	RFU
2828-82_2	SL004645	Kunitz-type protease inhibitor 1	HAI-1	O43278	6692	SPINT1	Human	RFU
2829-19_2	SL006915	Interleukin-27	IL-27	Q8NEV9 Q14213	246778 10148	IL27 EBI3	Human	RFU
2831-29_1	SL002763	Kallikrein-11	Kallikrein 11	Q9UBX7	11012	KLK11	Human	RFU
2833-20_1	SL003800	Kallikrein-4	Kallikrein 4	Q9Y5K2	9622	KLK4	Human	RFU
